Question,Db_Id,hardness,Gold,Repeated,Without Description,With Description,EM Without,EX Without,EM With,EX With,Without - Most Frequent Query,With - Most Frequent Query,Consistency-EM-Without,Consistency-EX-Without,Consistency-EM-With,Consistency-EX-With
"For each stadium, how many concerts play there?",concert_singer,medium,"SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id",7,"SELECT s.name, COUNT(c.concert_id) as num_of_concerts FROM stadium s LEFT JOIN concert c ON s.stadium_id = c.stadium_id GROUP BY s.name
SELECT s.name, COUNT(c.concert_id) as num_of_concerts FROM stadium s LEFT JOIN concert c ON s.stadium_id = c.stadium_id GROUP BY s.name
SELECT s.name, COUNT(c.concert_id) as num_of_concerts FROM stadium s LEFT JOIN concert c ON s.stadium_id = c.stadium_id GROUP BY s.name
SELECT s.name, COUNT(c.concert_id) as num_of_concerts FROM stadium s LEFT JOIN concert c ON s.stadium_id = c.stadium_id GROUP BY s.name
SELECT s.name, COUNT(c.concert_id) as num_of_concerts FROM stadium s LEFT JOIN concert c ON s.stadium_id = c.stadium_id GROUP BY s.name
SELECT s.name, COUNT(c.concert_id) as num_of_concerts FROM stadium s LEFT JOIN concert c ON s.stadium_id = c.stadium_id GROUP BY s.name
SELECT s.name, COUNT(c.concert_id) as num_of_concerts FROM stadium s LEFT JOIN concert c ON s.stadium_id = c.stadium_id GROUP BY s.name","SELECT s.name, COUNT(c.concert_id) as num_of_concerts FROM stadium s LEFT JOIN concert c ON s.stadium_id = c.stadium_id GROUP BY s.name
SELECT s.name, COUNT(c.concert_id) as num_of_concerts FROM stadium s LEFT JOIN concert c ON s.stadium_id = c.stadium_id GROUP BY s.name
SELECT s.name, COUNT(c.concert_id) as num_of_concerts FROM stadium s LEFT JOIN concert c ON s.stadium_id = c.stadium_id GROUP BY s.name
SELECT s.name, COUNT(c.concert_id) as num_of_concerts FROM stadium s LEFT JOIN concert c ON s.stadium_id = c.stadium_id GROUP BY s.name
SELECT s.name, COUNT(c.concert_id) as num_of_concerts FROM stadium s LEFT JOIN concert c ON s.stadium_id = c.stadium_id GROUP BY s.name
SELECT s.name, COUNT(c.concert_id) as num_of_concerts FROM stadium s LEFT JOIN concert c ON s.stadium_id = c.stadium_id GROUP BY s.name
SELECT s.name, COUNT(c.concert_id) as num_of_concerts FROM stadium s LEFT JOIN concert c ON s.stadium_id = c.stadium_id GROUP BY s.name",0,0,0,0,"SELECT s.name, COUNT(c.concert_id) as num_of_concerts FROM stadium s LEFT JOIN concert c ON s.stadium_id = c.stadium_id GROUP BY s.name","SELECT s.name, COUNT(c.concert_id) as num_of_concerts FROM stadium s LEFT JOIN concert c ON s.stadium_id = c.stadium_id GROUP BY s.name",0,0,0,0
"What is the average, minimum, and maximum age for all French singers?",concert_singer,medium,"SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'",7,"SELECT AVG(age), MIN(age), MAX(age)  FROM singer  WHERE country = 'France'
SELECT AVG(age), MIN(age), MAX(age)  FROM singer  WHERE country = 'France'
SELECT AVG(age), MIN(age), MAX(age)  FROM singer  WHERE country = 'France'
SELECT AVG(age), MIN(age), MAX(age)  FROM singer  WHERE country = 'France'
SELECT AVG(age), MIN(age), MAX(age)  FROM singer  WHERE country = 'France'
SELECT AVG(age), MIN(age), MAX(age)  FROM singer  WHERE country = 'France'
SELECT AVG(age), MIN(age), MAX(age)  FROM singer  WHERE country = 'France'","SELECT AVG(age), MIN(age), MAX(age)  FROM singer  WHERE country = 'France'
SELECT AVG(age), MIN(age), MAX(age)  FROM singer  WHERE country = 'France'
SELECT AVG(age), MIN(age), MAX(age)  FROM singer  WHERE country = 'France'
SELECT AVG(age), MIN(age), MAX(age)  FROM singer  WHERE country = 'France'
SELECT AVG(age), MIN(age), MAX(age)  FROM singer  WHERE country = 'France'
SELECT AVG(age), MIN(age), MAX(age)  FROM singer  WHERE country = 'France'
SELECT AVG(age), MIN(age), MAX(age)  FROM singer  WHERE country = 'France'",1,1,1,1,"SELECT AVG(age), MIN(age), MAX(age)  FROM singer  WHERE country = 'France'","SELECT AVG(age), MIN(age), MAX(age)  FROM singer  WHERE country = 'France'",1,1,1,1
What are the number of concerts that occurred in the stadium with the largest capacity ?,concert_singer,hard,select count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1),7,"SELECT COUNT(c.concert_id)  FROM concert AS c  JOIN stadium AS s ON c.stadium_id = s.stadium_id  WHERE s.capacity = (SELECT MAX(capacity) FROM stadium)
SELECT COUNT(c.concert_id)  FROM concert AS c  JOIN stadium AS s ON c.stadium_id = s.stadium_id  WHERE s.capacity = (SELECT MAX(capacity) FROM stadium)
SELECT COUNT(c.concert_id)  FROM concert AS c  JOIN stadium AS s ON c.stadium_id = s.stadium_id  WHERE s.capacity = (SELECT MAX(capacity) FROM stadium)
SELECT COUNT(c.concert_id)  FROM concert AS c  JOIN stadium AS s ON c.stadium_id = s.stadium_id  WHERE s.capacity = (SELECT MAX(capacity) FROM stadium)
SELECT COUNT(c.concert_id)  FROM concert AS c  JOIN stadium AS s ON c.stadium_id = s.stadium_id  WHERE s.capacity = (SELECT MAX(capacity) FROM stadium)
SELECT COUNT(c.concert_id)  FROM concert AS c  JOIN stadium AS s ON c.stadium_id = s.stadium_id  WHERE s.capacity = (SELECT MAX(capacity) FROM stadium)
SELECT COUNT(c.concert_id)  FROM concert AS c  JOIN stadium AS s ON c.stadium_id = s.stadium_id  WHERE s.capacity = (SELECT MAX(capacity) FROM stadium)","SELECT COUNT(*)  FROM concert  WHERE stadium_id =      (SELECT stadium_id       FROM stadium       ORDER BY capacity DESC       LIMIT 1)
SELECT COUNT(*)  FROM concert  WHERE stadium_id =      (SELECT stadium_id       FROM stadium       ORDER BY capacity DESC       LIMIT 1)
SELECT COUNT(*)  FROM concert  WHERE stadium_id =      (SELECT stadium_id       FROM stadium       ORDER BY capacity DESC       LIMIT 1)
SELECT COUNT(*)  FROM concert  WHERE stadium_id =      (SELECT stadium_id       FROM stadium       ORDER BY capacity DESC       LIMIT 1)
SELECT COUNT(*)  FROM concert  WHERE stadium_id =      (SELECT stadium_id       FROM stadium       ORDER BY capacity DESC       LIMIT 1)
SELECT COUNT(*)  FROM concert  WHERE stadium_id =      (SELECT stadium_id       FROM stadium       ORDER BY capacity DESC       LIMIT 1)
SELECT COUNT(*)  FROM concert  WHERE stadium_id =      (SELECT stadium_id       FROM stadium       ORDER BY capacity DESC       LIMIT 1)",0,1,1,1,SELECT COUNT(c.concert_id)  FROM concert AS c  JOIN stadium AS s ON c.stadium_id = s.stadium_id  WHERE s.capacity = (SELECT MAX(capacity) FROM stadium),SELECT COUNT(*)  FROM concert  WHERE stadium_id =      (SELECT stadium_id       FROM stadium       ORDER BY capacity DESC       LIMIT 1),0,1,1,1
"What are the names , themes , and number of singers for every concert ?",concert_singer,medium,"select t2.concert_name ,  t2.theme ,  count(*) from singer_in_concert as t1 join concert as t2 on t1.concert_id  =  t2.concert_id group by t2.concert_id",7,"SELECT c.concert_name, c.theme, COUNT(sic.singer_id) as num_singers FROM concert c JOIN singer_in_concert sic ON c.concert_id = sic.concert_id GROUP BY c.concert_id
SELECT c.concert_name, c.theme, COUNT(sic.singer_id) as num_singers FROM concert c JOIN singer_in_concert sic ON c.concert_id = sic.concert_id GROUP BY c.concert_id
SELECT c.concert_name, c.theme, COUNT(sic.singer_id) as num_singers FROM concert c JOIN singer_in_concert sic ON c.concert_id = sic.concert_id GROUP BY c.concert_id
SELECT c.concert_name, c.theme, COUNT(sic.singer_id) as num_singers FROM concert c JOIN singer_in_concert sic ON c.concert_id = sic.concert_id GROUP BY c.concert_id
SELECT c.concert_name, c.theme, COUNT(sic.singer_id) as num_singers FROM concert c JOIN singer_in_concert sic ON c.concert_id = sic.concert_id GROUP BY c.concert_id
SELECT c.concert_name, c.theme, COUNT(sic.singer_id) as num_singers FROM concert c JOIN singer_in_concert sic ON c.concert_id = sic.concert_id GROUP BY c.concert_id
SELECT c.concert_name, c.theme, COUNT(sic.singer_id) as num_singers FROM concert c JOIN singer_in_concert sic ON c.concert_id = sic.concert_id GROUP BY c.concert_id","SELECT c.concert_name, c.theme, COUNT(sic.singer_id) as num_singers FROM concert c JOIN singer_in_concert sic ON c.concert_id = sic.concert_id GROUP BY c.concert_id
SELECT c.concert_name, c.theme, COUNT(sic.singer_id) as num_singers FROM concert c JOIN singer_in_concert sic ON c.concert_id = sic.concert_id GROUP BY c.concert_id
SELECT c.concert_name, c.theme, COUNT(sic.singer_id) as num_singers FROM concert c JOIN singer_in_concert sic ON c.concert_id = sic.concert_id GROUP BY c.concert_id
SELECT c.concert_name, c.theme, COUNT(sic.singer_id) as num_singers FROM concert c JOIN singer_in_concert sic ON c.concert_id = sic.concert_id GROUP BY c.concert_id
SELECT c.concert_name, c.theme, COUNT(sic.singer_id) as num_singers FROM concert c JOIN singer_in_concert sic ON c.concert_id = sic.concert_id GROUP BY c.concert_id
SELECT c.concert_name, c.theme, COUNT(sic.singer_id) as num_singers FROM concert c JOIN singer_in_concert sic ON c.concert_id = sic.concert_id GROUP BY c.concert_id
SELECT c.concert_name, c.theme, COUNT(sic.singer_id) as num_singers FROM concert c JOIN singer_in_concert sic ON c.concert_id = sic.concert_id GROUP BY c.concert_id",0,1,0,1,"SELECT c.concert_name, c.theme, COUNT(sic.singer_id) as num_singers FROM concert c JOIN singer_in_concert sic ON c.concert_id = sic.concert_id GROUP BY c.concert_id","SELECT c.concert_name, c.theme, COUNT(sic.singer_id) as num_singers FROM concert c JOIN singer_in_concert sic ON c.concert_id = sic.concert_id GROUP BY c.concert_id",0,1,0,1
How many singers are from each country?,concert_singer,medium,"SELECT country ,  count(*) FROM singer GROUP BY country",7,"SELECT country, COUNT(*) as num_singers FROM singer GROUP BY country
SELECT country, COUNT(*) as num_singers FROM singer GROUP BY country
SELECT country, COUNT(*) as num_singers FROM singer GROUP BY country
SELECT country, COUNT(*) as num_singers FROM singer GROUP BY country
SELECT country, COUNT(*) as num_singers FROM singer GROUP BY country
SELECT country, COUNT(*) as num_singers FROM singer GROUP BY country
SELECT country, COUNT(*) as num_singers FROM singer GROUP BY country","SELECT country, COUNT(*) as num_singers FROM singer GROUP BY country
SELECT country, COUNT(*) as num_singers FROM singer GROUP BY country
SELECT country, COUNT(*) as num_singers FROM singer GROUP BY country
SELECT country, COUNT(*) as num_singers FROM singer GROUP BY country
SELECT country, COUNT(*) as num_singers FROM singer GROUP BY country
SELECT country, COUNT(*) as num_singers FROM singer GROUP BY country
SELECT country, COUNT(*) as num_singers FROM singer GROUP BY country",0,1,0,1,"SELECT country, COUNT(*) as num_singers FROM singer GROUP BY country","SELECT country, COUNT(*) as num_singers FROM singer GROUP BY country",0,1,0,1
Show the stadium name and capacity with most number of concerts in year 2014 or after.,concert_singer,extra,"SELECT T2.name ,  T2.capacity FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  >=  2014 GROUP BY T2.stadium_id ORDER BY count(*) DESC LIMIT 1",7,"SELECT s.name, s.capacity  FROM stadium AS s  JOIN (SELECT c.stadium_id, COUNT(*) AS num_concerts        FROM concert AS c        WHERE c.year >= 2014        GROUP BY c.stadium_id        ORDER BY num_concerts DESC        LIMIT 1) AS subquery  ON s.stadium_id = subquery.stadium_id
SELECT s.name, s.capacity  FROM stadium AS s  JOIN (SELECT c.stadium_id, COUNT(*) AS num_concerts        FROM concert AS c        WHERE c.year >= 2014        GROUP BY c.stadium_id        ORDER BY num_concerts DESC        LIMIT 1) AS subquery  ON s.stadium_id = subquery.stadium_id
SELECT s.name, s.capacity  FROM stadium AS s  JOIN (SELECT c.stadium_id, COUNT(*) AS num_concerts        FROM concert AS c        WHERE c.year >= 2014        GROUP BY c.stadium_id        ORDER BY num_concerts DESC        LIMIT 1) AS subquery  ON s.stadium_id = subquery.stadium_id
SELECT s.name, s.capacity  FROM stadium AS s  JOIN (SELECT c.stadium_id, COUNT(*) AS num_concerts        FROM concert AS c        WHERE c.year >= 2014        GROUP BY c.stadium_id        ORDER BY num_concerts DESC        LIMIT 1) AS subquery  ON s.stadium_id = subquery.stadium_id
SELECT s.name, s.capacity  FROM stadium AS s  JOIN (SELECT c.stadium_id, COUNT(*) AS num_concerts        FROM concert AS c        WHERE c.year >= 2014        GROUP BY c.stadium_id        ORDER BY num_concerts DESC        LIMIT 1) AS subquery  ON s.stadium_id = subquery.stadium_id
SELECT s.name, s.capacity  FROM stadium AS s  JOIN (SELECT c.stadium_id, COUNT(*) AS num_concerts        FROM concert AS c        WHERE c.year >= 2014        GROUP BY c.stadium_id        ORDER BY num_concerts DESC        LIMIT 1) AS subquery  ON s.stadium_id = subquery.stadium_id
SELECT s.name, s.capacity  FROM stadium AS s  JOIN (SELECT c.stadium_id, COUNT(*) AS num_concerts        FROM concert AS c        WHERE c.year >= 2014        GROUP BY c.stadium_id        ORDER BY num_concerts DESC        LIMIT 1) AS subquery  ON s.stadium_id = subquery.stadium_id","SELECT stadium.name, stadium.capacity  FROM stadium  JOIN concert ON stadium.stadium_id = concert.stadium_id  WHERE concert.year >= 2014 GROUP BY stadium.stadium_id ORDER BY COUNT(concert.concert_id) DESC LIMIT 1
SELECT stadium.name, stadium.capacity  FROM stadium  JOIN concert ON stadium.stadium_id = concert.stadium_id  WHERE concert.year >= 2014 GROUP BY stadium.stadium_id ORDER BY COUNT(concert.concert_id) DESC LIMIT 1
SELECT stadium.name, stadium.capacity  FROM stadium  JOIN concert ON stadium.stadium_id = concert.stadium_id  WHERE concert.year >= 2014 GROUP BY stadium.stadium_id ORDER BY COUNT(concert.concert_id) DESC LIMIT 1
SELECT stadium.name, stadium.capacity  FROM stadium  JOIN concert ON stadium.stadium_id = concert.stadium_id  WHERE concert.year >= 2014 GROUP BY stadium.stadium_id ORDER BY COUNT(concert.concert_id) DESC LIMIT 1
SELECT stadium.name, stadium.capacity  FROM stadium  JOIN concert ON stadium.stadium_id = concert.stadium_id  WHERE concert.year >= 2014 GROUP BY stadium.stadium_id ORDER BY COUNT(concert.concert_id) DESC LIMIT 1
SELECT stadium.name, stadium.capacity  FROM stadium  JOIN concert ON stadium.stadium_id = concert.stadium_id  WHERE concert.year >= 2014 GROUP BY stadium.stadium_id ORDER BY COUNT(concert.concert_id) DESC LIMIT 1
SELECT stadium.name, stadium.capacity  FROM stadium  JOIN concert ON stadium.stadium_id = concert.stadium_id  WHERE concert.year >= 2014 GROUP BY stadium.stadium_id ORDER BY COUNT(concert.concert_id) DESC LIMIT 1",0,1,0,1,"SELECT s.name, s.capacity  FROM stadium AS s  JOIN (SELECT c.stadium_id, COUNT(*) AS num_concerts        FROM concert AS c        WHERE c.year >= 2014        GROUP BY c.stadium_id        ORDER BY num_concerts DESC        LIMIT 1) AS subquery  ON s.stadium_id = subquery.stadium_id","SELECT stadium.name, stadium.capacity  FROM stadium  JOIN concert ON stadium.stadium_id = concert.stadium_id  WHERE concert.year >= 2014 GROUP BY stadium.stadium_id ORDER BY COUNT(concert.concert_id) DESC LIMIT 1",0,1,0,1
What are the locations and names of all stations with capacity between 5000 and 10000?,concert_singer,medium,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000",7,"SELECT s.location, s.name  FROM stadium AS s  WHERE s.capacity BETWEEN 5000 AND 10000
SELECT s.location, s.name  FROM stadium AS s  WHERE s.capacity BETWEEN 5000 AND 10000
SELECT s.location, s.name  FROM stadium AS s  WHERE s.capacity BETWEEN 5000 AND 10000
SELECT s.location, s.name  FROM stadium AS s  WHERE s.capacity BETWEEN 5000 AND 10000
SELECT s.location, s.name  FROM stadium AS s  WHERE s.capacity BETWEEN 5000 AND 10000
SELECT s.location, s.name  FROM stadium AS s  WHERE s.capacity BETWEEN 5000 AND 10000
SELECT s.location, s.name  FROM stadium AS s  WHERE s.capacity BETWEEN 5000 AND 10000","SELECT location, name  FROM stadium  WHERE capacity BETWEEN 5000 AND 10000
SELECT location, name  FROM stadium  WHERE capacity BETWEEN 5000 AND 10000
SELECT location, name  FROM stadium  WHERE capacity BETWEEN 5000 AND 10000
SELECT location, name  FROM stadium  WHERE capacity BETWEEN 5000 AND 10000
SELECT location, name  FROM stadium  WHERE capacity BETWEEN 5000 AND 10000
SELECT location, name  FROM stadium  WHERE capacity BETWEEN 5000 AND 10000
SELECT location, name  FROM stadium  WHERE capacity BETWEEN 5000 AND 10000",1,1,1,1,"SELECT s.location, s.name  FROM stadium AS s  WHERE s.capacity BETWEEN 5000 AND 10000","SELECT location, name  FROM stadium  WHERE capacity BETWEEN 5000 AND 10000",1,1,1,1
How many singers do we have?,concert_singer,easy,SELECT count(*) FROM singer,7,"SELECT COUNT(*) FROM singer
SELECT COUNT(*) FROM singer
SELECT COUNT(*) FROM singer
SELECT COUNT(*) FROM singer
SELECT COUNT(*) FROM singer
SELECT COUNT(*) FROM singer
SELECT COUNT(*) FROM singer","SELECT COUNT(*) FROM singer
SELECT COUNT(*) FROM singer
SELECT COUNT(*) FROM singer
SELECT COUNT(*) FROM singer
SELECT COUNT(*) FROM singer
SELECT COUNT(*) FROM singer
SELECT COUNT(*) FROM singer",1,1,1,1,SELECT COUNT(*) FROM singer,SELECT COUNT(*) FROM singer,1,1,1,1
What is the name and country of origin of every singer who has a song with the word 'Hey' in its title?,concert_singer,medium,"SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'",7,"SELECT singer.name, singer.country  FROM singer  JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id  JOIN concert ON singer_in_concert.concert_id = concert.concert_id  WHERE singer.song_name LIKE '%Hey%'
SELECT singer.name, singer.country  FROM singer  JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id  JOIN concert ON singer_in_concert.concert_id = concert.concert_id  WHERE singer.song_name LIKE '%Hey%'
SELECT singer.name, singer.country  FROM singer  JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id  JOIN concert ON singer_in_concert.concert_id = concert.concert_id  WHERE singer.song_name LIKE '%Hey%'
SELECT singer.name, singer.country  FROM singer  JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id  JOIN concert ON singer_in_concert.concert_id = concert.concert_id  WHERE singer.song_name LIKE '%Hey%'
SELECT singer.name, singer.country  FROM singer  JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id  JOIN concert ON singer_in_concert.concert_id = concert.concert_id  WHERE singer.song_name LIKE '%Hey%'
SELECT singer.name, singer.country  FROM singer  JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id  JOIN concert ON singer_in_concert.concert_id = concert.concert_id  WHERE singer.song_name LIKE '%Hey%'
SELECT singer.name, singer.country  FROM singer  JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id  JOIN concert ON singer_in_concert.concert_id = concert.concert_id  WHERE singer.song_name LIKE '%Hey%'","SELECT singer.name, singer.country  FROM singer  JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id  JOIN concert ON singer_in_concert.concert_id = concert.concert_id  WHERE singer.song_name LIKE '%Hey%'
SELECT singer.name, singer.country  FROM singer  JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id  JOIN concert ON singer_in_concert.concert_id = concert.concert_id  WHERE singer.song_name LIKE '%Hey%'
SELECT singer.name, singer.country  FROM singer  JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id  JOIN concert ON singer_in_concert.concert_id = concert.concert_id  WHERE singer.song_name LIKE '%Hey%'
SELECT singer.name, singer.country  FROM singer  JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id  JOIN concert ON singer_in_concert.concert_id = concert.concert_id  WHERE singer.song_name LIKE '%Hey%'
SELECT singer.name, singer.country  FROM singer  JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id  JOIN concert ON singer_in_concert.concert_id = concert.concert_id  WHERE singer.song_name LIKE '%Hey%'
SELECT singer.name, singer.country  FROM singer  JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id  JOIN concert ON singer_in_concert.concert_id = concert.concert_id  WHERE singer.song_name LIKE '%Hey%'
SELECT singer.name, singer.country  FROM singer  JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id  JOIN concert ON singer_in_concert.concert_id = concert.concert_id  WHERE singer.song_name LIKE '%Hey%'",0,1,0,1,"SELECT singer.name, singer.country  FROM singer  JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id  JOIN concert ON singer_in_concert.concert_id = concert.concert_id  WHERE singer.song_name LIKE '%Hey%'","SELECT singer.name, singer.country  FROM singer  JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id  JOIN concert ON singer_in_concert.concert_id = concert.concert_id  WHERE singer.song_name LIKE '%Hey%'",0,1,0,1
What are the names of the stadiums without any concerts?,concert_singer,hard,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert),7,"SELECT s.name  FROM stadium AS s  LEFT JOIN concert AS c ON s.stadium_id = c.stadium_id  WHERE c.stadium_id IS NULL
SELECT s.name  FROM stadium AS s  LEFT JOIN concert AS c ON s.stadium_id = c.stadium_id  WHERE c.stadium_id IS NULL
SELECT s.name  FROM stadium AS s  LEFT JOIN concert AS c ON s.stadium_id = c.stadium_id  WHERE c.stadium_id IS NULL
SELECT s.name  FROM stadium AS s  LEFT JOIN concert AS c ON s.stadium_id = c.stadium_id  WHERE c.stadium_id IS NULL
SELECT s.name  FROM stadium AS s  LEFT JOIN concert AS c ON s.stadium_id = c.stadium_id  WHERE c.stadium_id IS NULL
SELECT s.name  FROM stadium AS s  LEFT JOIN concert AS c ON s.stadium_id = c.stadium_id  WHERE c.stadium_id IS NULL
SELECT s.name  FROM stadium AS s  LEFT JOIN concert AS c ON s.stadium_id = c.stadium_id  WHERE c.stadium_id IS NULL","SELECT s.name  FROM stadium AS s  LEFT JOIN concert AS c ON s.stadium_id = c.stadium_id  WHERE c.stadium_id IS NULL
SELECT s.name  FROM stadium AS s  LEFT JOIN concert AS c ON s.stadium_id = c.stadium_id  WHERE c.stadium_id IS NULL
SELECT s.name  FROM stadium AS s  LEFT JOIN concert AS c ON s.stadium_id = c.stadium_id  WHERE c.stadium_id IS NULL
SELECT s.name  FROM stadium AS s  LEFT JOIN concert AS c ON s.stadium_id = c.stadium_id  WHERE c.stadium_id IS NULL
SELECT s.name  FROM stadium AS s  LEFT JOIN concert AS c ON s.stadium_id = c.stadium_id  WHERE c.stadium_id IS NULL
SELECT s.name  FROM stadium AS s  LEFT JOIN concert AS c ON s.stadium_id = c.stadium_id  WHERE c.stadium_id IS NULL
SELECT s.name  FROM stadium AS s  LEFT JOIN concert AS c ON s.stadium_id = c.stadium_id  WHERE c.stadium_id IS NULL",0,1,0,1,SELECT s.name  FROM stadium AS s  LEFT JOIN concert AS c ON s.stadium_id = c.stadium_id  WHERE c.stadium_id IS NULL,SELECT s.name  FROM stadium AS s  LEFT JOIN concert AS c ON s.stadium_id = c.stadium_id  WHERE c.stadium_id IS NULL,0,1,0,1
