,Qid,Question,Db_Id,hardness,Query Gold,Repeated,Query Generated,Most Frequent Query
0,895,What are the ids of high school students who do not have friends?,network_1,hard,SELECT id FROM Highschooler EXCEPT SELECT student_id FROM Friend,1,SELECT id FROM highschooler WHERE id NOT IN (SELECT student_id FROM friend),SELECT id FROM highschooler WHERE id NOT IN (SELECT student_id FROM friend)
1,811,Give the total population and average surface area corresponding to countries in North America that have a surface area greater than 3000 .,world_1,hard,"select sum(population) ,  avg(surfacearea) from country where continent  =  ""north america"" and surfacearea  >  3000",1,"SELECT SUM(population), AVG(surfacearea) FROM country WHERE continent = 'North America' AND surfacearea > 3000","SELECT SUM(population), AVG(surfacearea) FROM country WHERE continent = 'North America' AND surfacearea > 3000"
2,239,Find all airlines that have flights from airport 'CVO' but not from 'APG'.,flight_2,extra,"SELECT T1.Airline FROM AIRLINES AS T1 JOIN FLIGHTS AS T2 ON T1.uid  =  T2.Airline WHERE T2.SourceAirport  =  ""CVO"" EXCEPT SELECT T1.Airline FROM AIRLINES AS T1 JOIN FLIGHTS AS T2 ON T1.uid  =  T2.Airline WHERE T2.SourceAirport  =  ""APG""",1,"SELECT DISTINCT airlines.airline, airlines.abbreviation FROM airlines JOIN flights ON airlines.airline = flights.airline WHERE flights.sourceairport = 'CVO' AND flights.airline NOT IN (     SELECT DISTINCT flights.airline     FROM flights     WHERE flights.sourceairport = 'APG' )","SELECT DISTINCT airlines.airline, airlines.abbreviation FROM airlines JOIN flights ON airlines.airline = flights.airline WHERE flights.sourceairport = 'CVO' AND flights.airline NOT IN (     SELECT DISTINCT flights.airline     FROM flights     WHERE flights.sourceairport = 'APG' )"
3,941,Find the owner id and zip code of the owner who spent the most money in total for his or her dogs.,dog_kennels,extra,"SELECT T1.owner_id ,  T1.zip_code FROM Owners AS T1 JOIN Dogs AS T2 ON T1.owner_id  =  T2.owner_id JOIN Treatments AS T3 ON T2.dog_id  =  T3.dog_id GROUP BY T1.owner_id ORDER BY sum(T3.cost_of_treatment) DESC LIMIT 1",1,"SELECT owners.owner_id, owners.zip_code FROM owners JOIN dogs ON owners.owner_id = dogs.owner_id JOIN treatments ON dogs.dog_id = treatments.dog_id GROUP BY owners.owner_id ORDER BY SUM(treatments.cost_of_treatment) DESC LIMIT 1","SELECT owners.owner_id, owners.zip_code FROM owners JOIN dogs ON owners.owner_id = dogs.owner_id JOIN treatments ON dogs.dog_id = treatments.dog_id GROUP BY owners.owner_id ORDER BY SUM(treatments.cost_of_treatment) DESC LIMIT 1"
4,152,What are the different models created by either the car maker General Motors or weighed more than 3500?,car_1,extra,SELECT DISTINCT T2.Model FROM CAR_NAMES AS T1 JOIN MODEL_LIST AS T2 ON T1.Model  =  T2.Model JOIN CAR_MAKERS AS T3 ON T2.Maker  =  T3.Id JOIN CARS_DATA AS T4 ON T1.MakeId  =  T4.Id WHERE T3.FullName  =  'General Motors' OR T4.weight  >  3500;,1,"SELECT model_list.model, cars_data.weight, car_makers.maker FROM model_list JOIN cars_data ON model_list.modelid = cars_data.id JOIN car_makers ON model_list.maker = car_makers.id WHERE car_makers.maker = 'General Motors' AND cars_data.weight > 3500","SELECT model_list.model, cars_data.weight, car_makers.maker FROM model_list JOIN cars_data ON model_list.modelid = cars_data.id JOIN car_makers ON model_list.maker = car_makers.id WHERE car_makers.maker = 'General Motors' AND cars_data.weight > 3500"
5,2,"Show name, country, age for all singers ordered by age from the oldest to the youngest.",concert_singer,medium,"SELECT name ,  country ,  age FROM singer ORDER BY age DESC",1,"SELECT name, country, age FROM singer ORDER BY age DESC","SELECT name, country, age FROM singer ORDER BY age DESC"
6,761,What is the most populace city that speaks English?,world_1,extra,"SELECT T1.Name ,  T1.Population FROM city AS T1 JOIN countrylanguage AS T2 ON T1.CountryCode  =  T2.CountryCode WHERE T2.Language  =  ""English"" ORDER BY T1.Population DESC LIMIT 1",1,SELECT city.name FROM city JOIN countrylanguage ON city.countrycode = countrylanguage.countrycode WHERE countrylanguage.language = 'English' ORDER BY city.population DESC LIMIT 1,SELECT city.name FROM city JOIN countrylanguage ON city.countrycode = countrylanguage.countrycode WHERE countrylanguage.language = 'English' ORDER BY city.population DESC LIMIT 1
7,580,What other details can you tell me about students in reverse alphabetical order?,student_transcripts_tracking,easy,SELECT other_student_details FROM Students ORDER BY other_student_details DESC,1,SELECT * FROM students ORDER BY last_name DESC,SELECT * FROM students ORDER BY last_name DESC
8,523,What are the names and descriptions of all the sections?,student_transcripts_tracking,medium,"SELECT section_name ,  section_description FROM Sections",1,"SELECT section_name, section_description FROM sections","SELECT section_name, section_description FROM sections"
9,30,Show countries where a singer above age 40 and a singer below 30 are from.,concert_singer,hard,SELECT country FROM singer WHERE age  >  40 INTERSECT SELECT country FROM singer WHERE age  <  30,1,SELECT DISTINCT country FROM singer WHERE age > 40 UNION SELECT DISTINCT country FROM singer WHERE age < 30,SELECT DISTINCT country FROM singer WHERE age > 40 UNION SELECT DISTINCT country FROM singer WHERE age < 30
